,SBS1,SBS2,SBS4,SBS5,SBS13,SBS40
TCGA-05-4244-01A-01,3.002656865,1.296474314,4.67746904,0.057190685,0,4.83712294
TCGA-05-4249-01A-01,2.980077166,2.548578791,5.386914458,4.644213874,3.024284074,3.064923632
TCGA-05-4250-01A-01,2.04446353,3.415822084,5.317252615,5.096762725,3.199411965,0
TCGA-05-4382-01A-01,3.817414338,4.59632404,7.233358973,2.02E-14,4.488674836,5.962356018
TCGA-05-4384-01A-01,1.739776871,2.226014129,4.279520275,4.025597082,1.311934118,2.950116029
TCGA-05-4390-01A-02,3.194794216,0.70025819,6.128369682,3.171557213,0,5.153570434
TCGA-05-4402-01A-01,0.847992234,3.731824654,1.417989357,4.045291993,4.031045499,0
TCGA-05-4403-01A-01,2.973470129,1.342057306,4.187940988,4.399216777,1.467719115,0
TCGA-05-4405-01A-21,3.264940394,1.610589814,5.476548641,4.119056786,2.80107577,4.881526841
TCGA-05-4410-01A-21,3.516342969,4.266283672,6.727271776,4.68000649,4.213025703,5.590556629
TCGA-05-4415-01A-22,2.052844496,0,4.987848821,3.433801851,1.139327284,4.118555348
TCGA-05-4417-01A-22,2.844508676,0,5.419040433,2.248128116,0,4.809533837
TCGA-05-4418-01A-01,1.606111594,2.310784268,4.892859462,4.650592929,1.67352017,4.2446455
TCGA-05-4422-01A-01,1.706485092,2.672106564,2.32803052,3.133320957,1.918719474,0
TCGA-05-4424-01A-22,3.461127563,3.825363073,6.292853016,4.327380629,4.240385709,4.957477193
TCGA-05-4425-01A-01,3.335578724,0.286520492,0,2.22E-15,0.262637277,3.341915138
TCGA-05-4426-01A-01,2.597084301,1.250836169,2.043780267,2.822170452,1.169639598,2.908447749
TCGA-05-4427-01A-21,3.544915052,3.024789252,6.552593928,4.524080738,3.266064847,5.959184483
TCGA-05-4430-01A-02,2.055250613,1.782551249,5.427372658,4.267126457,2.385991905,3.676537242
TCGA-05-4432-01A-01,2.769698279,1.915992374,5.905388286,5.162074542,2.540321014,5.135992043
TCGA-05-4433-01A-22,2.984907439,0,0.738584496,2.874541747,1.18615671,1.964392974
TCGA-05-4434-01A-01,1.647794865,1.619929211,0,3.826667875,1.923145772,0
TCGA-05-5423-01A-01,2.968945832,2.438871145,4.490538163,3.65557606,1.846124089,2.942116989
TCGA-05-5425-01A-02,2.787139534,0,5.882695362,4.624445324,3.385965828,5.270420805
TCGA-05-5428-01A-01,2.993468431,4.430773551,5.342146106,0.961172464,3.915837665,4.62773683
TCGA-05-5715-01A-01,2.958429273,3.615160341,2.517446445,3.474941935,4.005188336,0
TCGA-35-3615-01A-01,2.505225299,3.440113994,3.86260817,2.577341633,2.854244969,3.348163353
TCGA-35-4122-01A-01,1.758890034,2.513180252,3.954680319,4.73134795,2.920255172,5.193826064
TCGA-35-4123-01A-01,2.662863636,0,5.345387194,0,2.10485596,4.887681462
TCGA-35-5375-01A-01,2.874730018,2.635341192,5.17590619,4.815392102,3.066370464,5.04674443
TCGA-38-4625-01A-01,3.066269535,4.273042881,6.149455529,2.789364121,4.058549265,4.636431613
TCGA-38-4626-01A-01,1.767046433,1.562958176,5.334423285,6.22E-15,2.330461661,4.660961719
TCGA-38-4627-01A-01,1.782824575,0.874575859,0,3.236554917,0.601422613,0
TCGA-38-4631-01A-01,3.02167579,0,6.395435438,4.629814532,2.754714927,5.199372826
TCGA-38-4632-01A-01,2.461557638,2.790789618,5.805969401,5.007604011,2.485959845,4.860953411
TCGA-38-6178-01A-11,2.442198697,2.187576973,2.103594808,0,0,4.225263727
TCGA-38-7271-01A-11,1.42977646,2.583405108,3.629866804,3.77E-15,3.485247339,3.409224799
TCGA-38-A44F-01A-11,1.842465951,0.531474084,0,3.11E-15,0,2.638090941
TCGA-44-2655-01A-01,1.856910947,1.462643318,4.939842844,4.22E-15,1.560839572,4.314384844
TCGA-44-2657-01A-01,3.423552352,2.990159343,5.472752529,0,2.895181768,5.214365763
TCGA-44-2662-01A-01,1.760249575,4.230368429,3.659210495,4.00866152,4.473379393,3.085908466
TCGA-44-2665-01A-01,2.474176513,2.575657339,1.85710833,3.569055261,1.808268808,0
TCGA-44-2668-01A-01,2.522058808,3.564293827,5.48543141,6.66E-16,3.250491425,4.838464507
TCGA-44-3396-01A-01,3.114657739,3.897121619,4.049767533,4.139327967,3.808143762,2.565131945
TCGA-44-3398-01A-01,1.732738664,3.454780235,4.661623908,4.360955075,3.482865496,0
TCGA-44-3917-01A-01,2.505332702,1.39884811,4.626038325,3.210647226,2.864522691,4.70281661
TCGA-44-3918-01A-01,3.334546123,3.311473281,6.626193752,1.788104948,3.96833032,5.553076326
TCGA-44-3919-01A-02,0.81853288,1.87927171,0,3.669154023,2.717345381,2.381886326
TCGA-44-5643-01A-01,2.763201811,2.742958737,3.721737323,4.398623622,2.560449124,0
TCGA-44-5644-01A-21,3.683336199,2.723486498,6.662664796,4.657196707,3.324331216,5.35296309
TCGA-44-6145-01A-11,2.403792006,1.360384883,5.532830616,0,0,4.797265544
TCGA-44-6148-01A-11,0.942063691,0,4.44E-16,2.017568683,0,0
TCGA-44-6774-01A-21,1.992866915,0,5.625591229,3.411485912,0.842509097,4.104208477
TCGA-44-6776-01A-11,1.129471989,1.622505707,5.09860142,4.428475837,1.603366189,0.242332175
TCGA-44-6777-01A-11,2.682780028,4.024813026,5.396616196,4.682469298,3.783001337,4.021087439
TCGA-44-6778-01A-11,2.181851977,1.810115142,5.575671279,4.783086801,0.791003304,4.526357493
TCGA-44-6779-01A-11,3.071071339,2.177620928,3.757339015,2.576083882,0.669992057,3.710934767
TCGA-44-7659-01A-11,1.950825302,1.064829392,4.2832392,2.753830942,1.917503652,4.336803741
TCGA-44-7660-01A-11,1.531215489,0,5.020480751,5.393996674,3.425460208,4.160039975
TCGA-44-7661-01A-11,1.961908252,3.189701121,5.466351755,4.232234293,3.835244896,1.587461466
TCGA-44-7662-01A-11,2.718432478,3.551653065,5.900392204,4.864248948,3.668068033,4.762534081
TCGA-44-7667-01A-31,3.658898509,1.513026761,5.562193766,2.723181391,0.09019284,5.492750508
TCGA-44-7669-01A-21,2.068209772,0,5.549997316,5.106884143,2.161063656,4.682290168
TCGA-44-7670-01A-11,3.502787668,4.253362292,6.707065054,1.95E-14,4.453368149,5.815883902
TCGA-44-7671-01A-11,1.761598268,1.434793161,4.745246557,4.60037209,1.968269165,3.93698306
TCGA-44-7672-01A-11,0.828953054,2.206742726,4.767571573,4.019480073,1.02688343,2.97170978
TCGA-44-8117-01A-11,3.398986021,2.592838101,6.366023559,4.595040719,2.988403408,4.853989507
TCGA-44-8119-01A-11,3.716099707,0.992699195,5.855402985,4.40968141,1.291241578,5.561456753
TCGA-44-8120-01A-11,2.350346644,2.946247144,6.242641598,5.169892952,2.525683518,0
TCGA-44-A479-01A-31,2.691514788,2.23511318,5.491144616,3.238306588,2.068232386,4.247958645
TCGA-44-A47A-01A-21,2.830282759,3.484863885,4.054601197,4.523703421,4.271000978,0
TCGA-44-A47B-01A-11,2.818368036,1.45413704,2.272644012,2.624220004,0,3.059435924
TCGA-44-A47G-01A-21,2.404650997,2.195572546,2.649767582,2.942077184,2.41237135,3.753589091
TCGA-44-A4SS-01A-11,2.587878394,3.078889423,5.520748573,4.752916135,3.617124967,5.010568887
TCGA-44-A4SU-01A-11,2.096604597,1.001288597,4.2183573,4.653734329,0.588446282,1.235601685
TCGA-49-4487-01A-21,2.433488823,3.052705806,5.362982214,3.085608858,3.60152828,4.966569045
TCGA-49-4488-01A-01,2.330744256,2.921353751,5.296406919,0,2.185436518,4.785079259
TCGA-49-4490-01A-21,2.392422859,2.175234931,0,3.840643855,2.185094859,2.22E-16
TCGA-49-4494-01A-01,3.092974073,1.407255639,4.809200752,0,1.436165284,4.489025372
TCGA-49-4501-01A-01,3.069122493,2.540778921,1.997306129,3.56640022,1.108328977,0
TCGA-49-4505-01A-01,3.364662911,2.320149666,4.861680424,0,1.87700224,4.606409105
TCGA-49-4506-01A-01,1.720901831,1.503888714,4.135571583,4.180307598,0,0
TCGA-49-4507-01A-01,2.986763033,3.250004156,4.473859653,3.85601004,2.967006694,3.950928075
TCGA-49-4510-01A-01,0,0,2.742670508,3.793705098,1.671904276,0.082395633
TCGA-49-4514-01A-21,2.725964183,4.105172994,5.051348302,4.572482425,4.084654147,3.354706812
TCGA-49-6743-01A-11,2.631368804,4.726593048,5.952258529,5.536322082,4.672955397,4.440524117
TCGA-49-6744-01A-11,1.73958153,0.733287384,5.182274458,3.299920377,1.654543973,4.341133668
TCGA-49-6745-01A-11,3.089940856,3.795585436,2.22E-16,3.50838837,3.771925889,3.511414838
TCGA-49-6761-01A-31,2.030875244,3.894470015,3.903043542,4.176532963,3.586579541,0
TCGA-49-6767-01A-11,2.332756871,2.764773716,6.000335886,4.909278353,3.216820376,2.87715605
TCGA-49-AAQV-01A-11,1.886213564,2.798739975,0.93447947,3.292551106,3.311279128,2.646473595
TCGA-49-AAR0-01A-21,2.199834522,2.447969172,4.281887248,4.332101745,2.391572493,0
TCGA-49-AAR2-01A-11,2.86517372,0,5.711919618,1.796220131,2.302502084,4.843957155
TCGA-49-AAR3-01A-11,1.952270627,1.868577504,4.170761624,4.428775593,2.064681656,0
TCGA-49-AAR4-01A-12,2.397759704,3.980038734,5.87092878,1.440429355,3.887400733,5.420082702
TCGA-49-AAR9-01A-21,3.158370574,1.607017941,6.248454779,4.832961168,1.962533483,4.749852605
TCGA-49-AARE-01A-11,2.969930313,3.979313404,7.00558419,5.563546701,3.689431704,5.040109677
TCGA-49-AARN-01A-21,2.514685988,4.726837977,4.89015235,0,0,6.491823927
TCGA-49-AARO-01A-12,1.169425174,2.104658714,6.276213578,1.55E-14,2.97821577,4.984643753
TCGA-49-AARQ-01A-11,3.118674606,3.816378745,6.281071916,2.627769105,3.751528897,5.328623999
TCGA-49-AARR-01A-11,0.665722876,0,0.185303784,1.047501199,0,0
TCGA-4B-A93V-01A-11,2.311841811,1.921048922,4.248285323,2.926666482,0.059828367,4.100436288
TCGA-50-5044-01A-21,1.187607134,3.967791267,2.22E-16,3.833010582,4.271112596,0
TCGA-50-5045-01A-01,1.026468671,2.071829712,5.670311459,3.055165943,2.587161309,3.318825981
TCGA-50-5049-01A-01,1.947717696,1.58885822,6.399041213,3.877366691,2.482295868,5.763796184
TCGA-50-5051-01A-21,2.247308203,0.446094024,3.474881815,3.930327682,1.661191532,2.995310563
TCGA-50-5055-01A-01,2.052329753,1.158515935,4.44E-16,4.44E-16,1.250959325,2.254978138
TCGA-50-5066-01A-01,2.100086782,2.153892842,4.834506739,3.017460547,1.942640673,5.17627277
TCGA-50-5068-01A-01,2.465297054,0.878752894,3.675142424,4.119338345,1.391520243,1.921525137
TCGA-50-5072-01A-21,2.55613571,2.657363562,4.29010401,3.55E-15,1.202259334,4.600697616
TCGA-50-5931-01A-11,2.507839174,1.858229622,5.142727661,4.161707522,2.483802326,4.653573817
TCGA-50-5933-01A-11,3.518337561,3.133876546,5.825378832,4.328364808,2.681818926,5.106476009
TCGA-50-5935-01A-11,1.923813066,3.488822902,0,4.061896717,3.411848085,0
TCGA-50-5936-01A-11,2.000492302,3.501706805,3.178614688,3.561880361,3.289822123,3.061255511
TCGA-50-5939-01A-11,2.28394984,2.77676616,0,2.980025306,1.808066285,4.031239507
TCGA-50-5941-01A-11,2.62667982,2.110229541,5.500794644,3.816261489,3.068750909,5.100394237
TCGA-50-5942-01A-21,2.181059278,0,2.624386724,1.33128466,0,3.840791275
TCGA-50-5944-01A-11,2.863356595,1.094604729,0,1.700014838,1.785601856,4.0263256
TCGA-50-5946-01A-11,2.952422858,4.17703781,5.88826981,5.092857625,4.472839872,4.450829438
TCGA-50-6590-01A-12,2.126073877,4.356899178,6.276955926,4.582251395,4.73023125,5.530940109
TCGA-50-6592-01A-11,2.173625413,3.262004831,4.557824857,4.570073522,3.449321875,4.581922511
TCGA-50-6593-01A-11,2.077792852,1.549683889,5.210015855,4.410693432,1.252354468,4.556038522
TCGA-50-6594-01A-11,2.549130919,3.013570236,5.97528174,2.948163622,3.267792988,5.093387282
TCGA-50-6595-01A-12,1.805163389,2.845211911,2.925902279,4.044316733,2.55503816,2.840178203
TCGA-50-6673-01A-11,2.420554391,0.945191518,8.88E-16,3.617872604,1.408540071,0
TCGA-50-7109-01A-11,2.456870689,0,5.064830967,4.609711678,1.507202402,3.583763904
TCGA-50-8457-01A-11,1.939170313,0.948802996,2.935712414,2.808820735,1.339529721,3.069333441
TCGA-50-8459-01A-11,2.34593425,1.21064765,3.977144565,3.884579214,0.784089659,0
TCGA-50-8460-01A-11,1.877950656,1.524143812,0,2.714464062,0.547358883,2.441146232
TCGA-53-7624-01A-11,2.855249637,4.359329137,6.270364003,5.300789732,4.333861013,4.605306502
TCGA-53-7626-01A-12,2.89E-15,0.966791163,0.04387232,0,2.728812275,5.193855973
TCGA-53-7813-01A-11,2.083403635,0,4.626475371,4.274091478,0,0
TCGA-53-A4EZ-01A-12,2.905609266,2.302860283,5.855823433,4.324521701,2.241820268,5.14850022
TCGA-55-1592-01A-01,1.166469702,3.167018666,5.322344724,5.559727646,3.364656825,5.121063527
TCGA-55-1594-01A-01,2.784384901,3.501325931,3.757534015,4.088172841,3.675342767,3.844067227
TCGA-55-1596-01A-01,1.41182014,0,4.177544133,4.676300393,1.249266366,3.84654915
TCGA-55-5899-01A-11,2.399299623,4.163718083,5.640979366,4.765811502,3.983476998,2.468610974
TCGA-55-6543-01A-11,2.269708168,0.306716622,0,2.721474477,1.240504421,0
TCGA-55-6642-01A-11,1.888433972,1.628030941,4.629885442,3.622870878,1.317939804,0
TCGA-55-6712-01A-11,2.649101925,3.792448757,3.547271519,3.997074476,4.083227093,0
TCGA-55-6968-01A-11,2.524774529,5.282416168,4.73878349,3.832792473,5.435971899,4.184562717
TCGA-55-6970-01A-11,1.244747178,1.798583679,4.85079462,3.902947264,1.69466977,3.389523134
TCGA-55-6971-01A-11,0,1.443346604,1.163906677,4.010668957,2.22E-16,2.22E-16
TCGA-55-6975-01A-11,2.268229699,1.978569739,3.775119156,3.760473739,1.876995956,0
TCGA-55-6978-01A-11,2.003951063,0,4.44E-15,2.447528622,2.22E-16,2.524193404
TCGA-55-6979-01A-11,2.22E-16,2.114268196,0,2.22E-16,3.198604195,2.89E-15
TCGA-55-6980-01A-11,0.710483187,0,1.55E-15,2.450621235,2.22E-16,0.617173366
TCGA-55-6981-01A-11,2.207330357,0.143287249,6.66E-16,0,0,4.22E-15
TCGA-55-6983-01A-11,1.927922386,1.418686797,3.586079157,4.26153715,0.644183979,1.13629992
TCGA-55-6985-01A-11,2.649022899,0,5.878107799,3.048639471,0.338374124,5.299504904
TCGA-55-6987-01A-11,1.954208206,3.575550824,5.001969345,3.820693917,3.968134789,0
TCGA-55-7227-01A-11,2.564000165,2.166788218,4.590111386,4.103094996,1.448867847,2.943971076
TCGA-55-7283-01A-11,3.698101956,3.270328678,3.955541061,3.351201471,3.43634319,4.66439476
TCGA-55-7284-01B-11,3.124410114,0,8.88E-16,3.270951488,0.044814765,2.386126878
TCGA-55-7570-01A-11,2.191432761,3.248001568,4.986151147,4.523516508,4.197349216,4.936430648
TCGA-55-7573-01A-11,0.80429419,1.776995082,2.554571281,2.696270375,0.872745687,3.426514895
TCGA-55-7574-01A-11,0.351494747,3.993971126,4.145941112,4.208055534,4.429418416,4.143507223
TCGA-55-7576-01A-11,3.434956078,2.352996825,5.500908488,4.453894431,2.289620425,4.841872006
TCGA-55-7724-01A-11,2.795134859,2.721760922,3.591877318,4.816214225,2.80171871,4.207022975
TCGA-55-7725-01A-11,1.709909159,0,4.398995904,3.246623937,0.030162781,3.814815306
TCGA-55-7726-01A-11,2.995303474,3.394254847,2.663365361,3.441269122,3.904899356,0
TCGA-55-7727-01A-11,2.692407413,4.120867172,4.558394731,3.975264114,3.76222652,3.815939305
TCGA-55-7728-01A-11,2.745685554,0.16353945,4.341569742,3.270364295,1.304446966,0
TCGA-55-7815-01A-11,2.775300991,1.599277428,4.546501037,3.654530681,0.782480135,3.327513205
TCGA-55-7816-01A-11,1.048940883,0,0,0.135731105,0,0
TCGA-55-7903-01A-11,3.014141465,2.620327409,2.55679323,4.148862059,2.25084742,3.691860976
TCGA-55-7907-01A-11,3.638508207,4.551040532,6.713560355,4.118342235,4.807560858,5.601553164
TCGA-55-7910-01A-11,3.070342267,0.482603963,5.384229755,4.127380805,1.623090488,4.119069837
TCGA-55-7911-01A-11,2.530868586,1.570461958,4.780197431,3.333505854,2.419032535,4.646575078
TCGA-55-7913-01B-11,3.124175997,2.899969712,5.381425821,4.037580617,3.085242152,4.534656928
TCGA-55-7914-01A-11,2.821392199,2.215226839,4.438633349,4.433934327,2.779740882,0
TCGA-55-7994-01A-11,3.242488027,3.227721258,7.058406568,5.924762205,3.917002425,5.2788814
TCGA-55-7995-01A-11,2.86139931,3.812772474,5.852447126,4.208972793,3.598173319,5.724676843
TCGA-55-8085-01A-11,2.985386389,4.128568285,4.564782285,4.280552229,4.067516271,2.666057778
TCGA-55-8087-01A-11,2.187170898,1.586063036,0,3.079125152,1.230012801,1.799214946
TCGA-55-8089-01A-11,3.705523279,5.311969722,6.519576184,4.191277451,5.329254878,5.816805254
TCGA-55-8090-01A-11,1.751523469,0,3.810687439,3.76649263,1.193210076,2.959545661
TCGA-55-8091-01A-11,2.739882,0.07887213,0.808200836,0.0445073,0,3.141709488
TCGA-55-8092-01A-11,3.761568906,4.647017484,5.646528661,4.65753787,3.634371459,4.905184786
TCGA-55-8094-01A-11,3.070283546,1.903616995,5.697145175,2.790602857,1.370216898,5.275359883
TCGA-55-8096-01A-11,2.847466622,1.564688706,3.993772354,0,1.849258886,4.492678485
TCGA-55-8097-01A-11,3.236272554,2.176855238,3.771069152,3.972344812,1.828423062,0
TCGA-55-8203-01A-11,3.458985582,2.22E-16,5.798923512,3.587024462,0,4.8052062
TCGA-55-8204-01A-11,2.314732661,3.653407301,3.793584559,4.369249505,3.738559835,4.022396195
TCGA-55-8205-01A-11,2.35991476,4.303066373,5.397457875,4.661622389,4.771795843,4.724735904
TCGA-55-8206-01A-11,2.085584447,1.602655886,1.214520552,2.415553786,0.713585327,2.665737976
TCGA-55-8207-01A-11,2.98335098,1.289492768,5.382580304,4.463627163,2.542226538,3.624939572
TCGA-55-8208-01A-11,1.093550625,4.505429507,3.980289872,4.811675775,4.616926313,4.260640859
TCGA-55-8299-01A-11,0.93353685,1.956169347,4.939281053,4.25353087,0.281652167,3.807458347
TCGA-55-8301-01A-11,1.995481627,2.026794277,4.999326153,4.879952209,3.1669953,3.151920415
TCGA-55-8302-01A-11,3.009945748,0,6.217502147,3.999889238,1.89509219,5.497247386
TCGA-55-8505-01A-11,2.164708166,1.872763864,0,2.702021964,1.974731194,2.751566532
TCGA-55-8506-01A-11,5.900479002,0.910822153,6.91000862,6.488633855,1.648230294,0
TCGA-55-8507-01A-11,3.513148907,1.916522147,6.592298731,4.791535942,2.072687492,5.597535492
TCGA-55-8508-01A-11,3.026932829,2.393183141,4.552018773,3.094903163,0.756279066,4.225062639
TCGA-55-8510-01A-11,2.36302736,2.091882498,5.412101118,0,2.969555149,4.795423192
TCGA-55-8511-01A-11,3.425665595,3.966003963,5.912078058,3.23747346,3.037653691,5.306707013
TCGA-55-8512-01A-11,1.035868024,0.942778865,2.602636324,3.251221391,1.211187358,1.781159534
TCGA-55-8513-01A-11,1.781535558,0.168004648,1.11E-15,0,0,1.584753512
TCGA-55-8514-01A-11,3.220403937,0.777844372,5.358315371,3.689712583,1.411836629,4.147589606
TCGA-55-8614-01A-11,3.15420832,2.453743158,4.074631029,5.088480478,2.972342784,3.195566843
TCGA-55-8615-01A-11,2.614224198,0,3.779201081,3.050026965,0.058097399,4.447189183
TCGA-55-8616-01A-11,3.569466483,0,5.985378451,2.017682254,2.312868168,4.936666931
TCGA-55-8619-01A-11,2.756387011,0,1.240009397,0,0.595031054,2.301424973
TCGA-55-8620-01A-11,3.082649716,1.833908754,5.848001998,5.373056248,2.181966764,0
TCGA-55-8621-01A-11,0.919172998,1.005807933,3.547487221,3.773676667,1.870704195,1.78E-15
TCGA-55-A48X-01A-11,2.194525869,2.402486869,5.54408264,2.406491581,2.643975347,5.037535287
TCGA-55-A48Y-01A-11,3.160716699,5.228655592,1.240575745,4.21910079,5.132503128,0
TCGA-55-A48Z-01A-12,2.409658968,1.240140738,2.143357051,3.173429675,0.174110776,3.250616824
TCGA-55-A490-01A-11,3.606066229,3.8571695,6.982208855,3.526909177,3.976286725,5.864242404
TCGA-55-A491-01A-11,2.255167585,2.577057047,5.495829689,4.773460014,2.894887186,3.993081641
TCGA-55-A492-01A-11,2.762573159,2.270776286,5.19548772,4.566341253,1.618532483,3.966117044
TCGA-55-A493-01A-11,2.500634961,3.958372766,5.03655078,4.385445847,3.508224144,1.764161286
TCGA-55-A494-01A-11,3.677501211,1.351876115,4.923617292,3.579663468,2.28495908,4.101022838
TCGA-55-A4DF-01A-11,3.258918085,5.618100628,4.613722529,5.111779159,5.745224415,4.419980932
TCGA-55-A4DG-01A-11,2.907463501,2.22E-16,6.268349893,4.858009261,3.292102712,4.558253426
TCGA-55-A57B-01A-12,2.311709351,1.893166507,1.501685256,3.447225792,0.20813017,0
TCGA-62-8394-01A-11,2.817221313,2.576000297,8.88E-16,1.974261599,3.359249326,4.689962913
TCGA-62-8395-01A-11,2.608250836,1.931169927,0,4.056212175,2.477804082,0.774995781
TCGA-62-8397-01A-11,2.106781565,0.889969602,0,1.487517723,0,2.940066897
TCGA-62-8398-01A-11,2.473907744,1.854773657,3.565709923,2.62130652,0.88716182,3.693731463
TCGA-62-8399-01A-21,3.48531475,4.582336911,5.434597764,4.772556202,4.961349402,3.447340494
TCGA-62-8402-01A-11,2.999031943,1.309661982,0,1.059589821,0.061306529,3.937311818
TCGA-62-A46O-01A-11,3.385193936,4.29892463,6.323627316,4.970607209,4.29247107,5.220369039
TCGA-62-A46P-01A-11,3.147943398,0,5.35197196,4.44E-16,1.53729521,4.682463299
TCGA-62-A46R-01A-11,2.980262085,3.081927413,4.379860165,4.006703706,1.938354297,3.393402904
TCGA-62-A46S-01A-11,2.98310464,2.419588424,3.801113161,3.810223264,0.888841614,3.284612423
TCGA-62-A46V-01A-11,2.871400015,1.622369662,0,1.594392904,0,3.857521534
TCGA-62-A46Y-01A-11,2.58660116,0,0,3.33E-15,0,3.357435558
TCGA-62-A470-01A-11,3.007441077,1.166301535,3.761841271,3.83422562,1.832670801,3.466317596
TCGA-62-A471-01A-12,1.857054551,3.653396355,0,4.272112855,3.469172853,4.44E-16
TCGA-62-A472-01A-11,1.895753671,1.542398422,2.676393227,3.241075969,0,3.160095693
TCGA-64-1676-01A-01,3.392017185,0.449347049,6.167635122,3.151638434,2.120253396,5.267562689
